Query length,Class,Accuracy,Specificity,Sensitivity,Precision
11,Plier,0.9713157894736844,0.995983379501385,0.5026315789473685,0.8681818181818179
11,Table,0.9547368421052631,0.9872576177285319,0.33684210526315794,0.5818181818181818
11,Teddy,0.9647368421052633,0.9925207756232688,0.4368421052631578,0.7545454545454545
11,Vase,0.9381578947368423,0.9785318559556787,0.17105263157894735,0.7545454545454545
12,Airplane,0.9663157894736841,0.99196675900277,0.4789473684210527,0.7583333333333335
12,Ant,0.951578947368421,0.9842105263157895,0.3315789473684211,0.525
12,Armadillo,0.9376315789473685,0.9768698060941826,0.19210526315789475,0.30416666666666664
12,Bearing,0.9336842105263157,0.9747922437673131,0.1526315789473684,0.24166666666666664
12,Bird,0.9381578947368421,0.9771468144044322,0.19736842105263153,0.3125
12,Bust,0.9460526315789475,0.9813019390581719,0.2763157894736842,0.4375
12,Chair,0.9589473684210524,0.9880886426592795,0.4052631578947369,0.6416666666666667
12,Cup,0.9621052631578946,0.9897506925207757,0.43684210526315786,0.6916666666666667
12,Fish,0.9468421052631578,0.9817174515235457,0.2842105263157894,0.45
12,FourLeg,0.9442105263157897,0.9803324099722991,0.2578947368421053,0.4083333333333334
12,Glasses,0.9439473684210528,0.9801939058171747,0.25526315789473686,0.4041666666666668
12,Hand,0.9323684210526315,0.9740997229916897,0.13947368421052636,0.22083333333333338
12,Human,0.9455263157894735,0.9810249307479226,0.2710526315789473,0.4291666666666666
12,Mech,0.9547368421052631,0.9858725761772854,0.36315789473684207,0.575
12,Octopus,0.9321052631578948,0.9739612188365652,0.13684210526315788,0.21666666666666665
12,Plier,0.9707894736842106,0.9943213296398892,0.523684210526316,0.8291666666666668
12,Table,0.9547368421052633,0.9858725761772854,0.3631578947368421,0.575
12,Teddy,0.9647368421052633,0.9911357340720223,0.46315789473684205,0.7333333333333332
12,Vase,0.9360526315789472,0.976038781163435,0.17631578947368415,0.7333333333333332
13,Airplane,0.9660526315789475,0.990443213296399,0.5026315789473685,0.7346153846153847
13,Ant,0.9502631578947371,0.9821329639889195,0.3447368421052632,0.5038461538461538
13,Armadillo,0.9357894736842105,0.9745152354570635,0.20000000000000004,0.29230769230769243
13,Bearing,0.9313157894736845,0.9721606648199443,0.15526315789473683,0.22692307692307692
13,Bird,0.9360526315789475,0.9746537396121882,0.2026315789473684,0.29615384615384616
13,Bust,0.9444736842105262,0.9790858725761771,0.2868421052631579,0.41923076923076924
13,Chair,0.9576315789473682,0.9860110803324099,0.4184210526315789,0.6115384615384617
13,Cup,0.961578947368421,0.9880886426592796,0.45789473684210524,0.6692307692307693
13,Fish,0.9452631578947368,0.9795013850415513,0.29473684210526313,0.43076923076923085
13,FourLeg,0.9428947368421051,0.9782548476454294,0.2710526315789474,0.3961538461538462
13,Glasses,0.9418421052631581,0.9777008310249306,0.2605263157894737,0.38076923076923086
13,Hand,0.9307894736842105,0.9718836565096953,0.15,0.21923076923076926
13,Human,0.9436842105263159,0.9786703601108033,0.27894736842105256,0.4076923076923077
13,Mech,0.9531578947368422,0.983656509695291,0.3736842105263158,0.5461538461538461
13,Octopus,0.930263157894737,0.971606648199446,0.14473684210526314,0.21153846153846154
13,Plier,0.9710526315789474,0.9930747922437672,0.5526315789473685,0.8076923076923077
13,Table,0.9539473684210525,0.9840720221606647,0.3815789473684211,0.5576923076923077
13,Teddy,0.9636842105263158,0.989196675900277,0.4789473684210527,0.7
13,Vase,0.9344736842105261,0.9738227146814404,0.18684210526315786,0.7
14,Airplane,0.9663157894736842,0.9891966759002772,0.5315789473684212,0.7214285714285713
14,Ant,0.9489473684210525,0.9800554016620499,0.3578947368421053,0.48571428571428565
14,Armadillo,0.9347368421052634,0.9725761772853186,0.21578947368421053,0.2928571428571428
14,Bearing,0.93,0.970083102493075,0.16842105263157897,0.2285714285714285
14,Bird,0.9339473684210523,0.9721606648199448,0.20789473684210522,0.28214285714285714
14,Bust,0.9436842105263159,0.9772853185595565,0.3052631578947368,0.4142857142857143
14,Chair,0.9568421052631579,0.9842105263157894,0.4368421052631578,0.5928571428571429
14,Cup,0.9613157894736842,0.9865650969529088,0.48157894736842105,0.6535714285714285
